"objective_1","objective_2"
"-0.848401665687561","-10.771093368530273"
"-0.8376407623291016","-10.862768173217773"
"-0.8439896106719971","-10.929351806640625"
"-0.867055356502533","-10.692266464233398"
"-0.8219130635261536","-10.687408447265625"
"-0.8636649250984192","-10.73501968383789"
"-0.8614023327827454","-10.805100440979004"
"-0.8204893469810486","-10.75307846069336"
"-0.8688693046569824","-10.713369369506836"
"-0.8443646430969238","-10.833680152893066"
"-0.8169559240341187","-10.774689674377441"
